Danceability,Energy,Key,Loudness,Mode,Speechness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
0.35100000000000003,0.0602,7.0,-20.677,0.0,0.0407,0.774,0.8440000000000001,0.134,0.095,129.981
0.46,0.14800000000000002,7.0,-18.141,1.0,0.0313,0.941,0.797,0.19699999999999998,0.114,69.669
0.369,0.102,7.0,-21.403000000000002,1.0,0.0507,0.985,0.9179999999999999,0.10099999999999999,0.14400000000000002,76.194
0.47,0.0935,10.0,-20.776999999999997,1.0,0.0559,0.963,0.9179999999999999,0.1,0.142,124.322
0.27899999999999997,0.07400000000000001,0.0,-21.124000000000002,1.0,0.0461,0.9670000000000001,0.648,0.0833,0.11,165.27
0.311,0.33,0.0,-16.226,1.0,0.0631,0.977,0.9159999999999999,0.0807,0.265,122.069
0.46799999999999997,0.12,10.0,-16.78,0.0,0.0595,0.987,0.892,0.11800000000000001,0.22899999999999998,94.319
0.542,0.0439,4.0,-32.641,0.0,0.0496,0.988,0.955,0.11699999999999999,0.207,119.959
0.64,0.0213,9.0,-30.003,1.0,0.0495,0.9690000000000001,0.927,0.111,0.0589,120.038
0.5,0.00892,10.0,-36.551,1.0,0.048,0.986,0.917,0.14,0.0579,119.997
0.354,0.0513,1.0,-24.186999999999998,1.0,0.0689,0.99,0.941,0.10400000000000001,0.0568,180.027
0.655,0.02,11.0,-28.105999999999998,1.0,0.0609,0.993,0.922,0.105,0.602,120.003